name,author,publisher,date,price,rate,comment,url
撒哈拉的故事,三毛,皇冠出版社,1976,160 TWD,9.0,关于漂泊的一切,https://book.douban.com/subject/1361264/
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,南海出版公司,2012-9-1,39.50元,9.0,义无反顾地直达爱情的核心,https://book.douban.com/subject/10594787/
飘,[美国] 玛格丽特·米切尔,译林出版社,2000-9,40.00元,9.3,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/
许三观卖血记,余华,南海出版公司,1998-9,16.80元,8.7,余华的悲凉，都在那一碗炒猪肝里了,https://book.douban.com/subject/1029791/
边城,沈从文,北岳文艺出版社,2002-4,12.00元,8.6,如水一般的忧愁与怅惘,https://book.douban.com/subject/1057244/
倾城之恋,花城出版社,花城出版社,1997-3-1,11.00,8.5,一段姻缘，需要一座城的倾覆来成全,https://book.douban.com/subject/1090043/
送你一颗子弹,刘瑜,上海三联书店,2010-1,25.00元,8.6,犀利又温柔，穿过胸口隐隐作痛,https://book.douban.com/subject/4238362/
狼图腾,姜戎,长江文艺出版社,2004-4,32.00元,8.2,我们都是 狼的传人？,https://book.douban.com/subject/1022060/
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳,人民文学出版社,2000-9,26.50元,9.0,小天狼星布莱克,https://book.douban.com/subject/1071241/
哈利·波特与火焰杯,[英] J. K. 罗琳,人民文学出版社,2001-5,39.80元,9.0,整个系列的分水岭，暗色渐浓,https://book.douban.com/subject/1009257/
情人,[法] 玛格丽特·杜拉斯,上海译文出版社,2005-7,20.00元,8.1,我已经老了，你呢？,https://book.douban.com/subject/1400705/
盗墓笔记,南派三叔,中国友谊出版公司,2007-1,26.80元,8.3,想象奇诡的大型RPG游戏,https://book.douban.com/subject/1948901/
哈利·波特与密室,[英] J. K. 罗琳,人民文学出版社,2000-9,22.00元,8.9,渐入佳境，魔法世界全貌初现,https://book.douban.com/subject/1039487/
穆斯林的葬礼,霍达,北京十月文艺出版社,1988-12-1,32.00,8.1,时代烙印鲜明的民族史诗,https://book.douban.com/subject/1082334/
万历十五年,[美] 黄仁宇,生活·读书·新知三联书店,1997-5,18.00元,8.9,见微知著，历史观的颠覆,https://book.douban.com/subject/1041482/
人间失格,太宰治,吉林出版集团有限责任公司,2009年9月,16.00元,8.3,令人无从怜悯的绝望,https://book.douban.com/subject/4011670/
窗边的小豆豆,[日] 黑柳彻子 著,南海出版公司,2003-1,20.00元,8.7,真正懂孩子的教育经,https://book.douban.com/subject/1007914/
老人与海,海明威,上海译文出版社,1999-10,8.20元,8.4,正是悲壮赋予生活以意义,https://book.douban.com/subject/1064275/
1Q84 BOOK 1,[日] 村上春树,南海出版公司,2010-5,36.00元,8.3,村上的野望，欢迎来到1Q84年,https://book.douban.com/subject/4742918/
黄金时代,王小波,花城出版社,1999-3,19.00元,8.8,能把性爱写得如此坦荡的，大概只有王二了,https://book.douban.com/subject/1089243/
1984,[英] 乔治·奥威尔,北京十月文艺出版社,2010-4-1,28.00,9.3,栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/
哈利·波特与混血王子,[英] J. K. 罗琳,人民文学出版社,2005-10,58.00元,8.8,感情线纷乱的一部。再见邓布利多,https://book.douban.com/subject/1432596/
人类简史,[以色列] 尤瓦尔·赫拉利,中信出版社,2014-11,CNY 68.00,9.1,跟着人类一同走过十万年,https://book.douban.com/subject/25985021/
三国演义（全二册）,[明] 罗贯中,人民文学出版社,1998-05,39.50元,9.2,是非成败转头空,https://book.douban.com/subject/1019568/
向左走·向右走,幾米,生活·读书·新知三联书店,2002-8,16.00元,8.4,两条平行线相遇的可能,https://book.douban.com/subject/1066462/
哈利·波特与凤凰社,[英] J. K. 罗琳,人民文学出版社,2003-9,59.00元,8.7,暴脾气的哈利,https://book.douban.com/subject/1013129/
悟空传,今何在,光明日报出版社,2001-4,14.80元,8.3,猴子还是那个猴子，世界早已不是原来的世界,https://book.douban.com/subject/1003000/
牧羊少年奇幻之旅,[巴西]保罗·柯艾略,南海出版公司,2009-3-1,25.00元,8.6,你自己就是最大的宝藏,https://book.douban.com/subject/3608208/
苏菲的世界,（挪威）乔斯坦·贾德,作家出版社,1999-04,26.80元,8.5,最平易近人的哲学入门,https://book.douban.com/subject/1045818/
天龙八部,金庸,生活.读书.新知三联书店,1994-5,96.0,9.1,“有情皆孽，无人不冤”,https://book.douban.com/subject/1255625/
哈利·波特与死亡圣器,[英] J. K. 罗琳,人民文学出版社,2007-10,66.00元,9.0,空,https://book.douban.com/subject/2295163/
房思琪的初恋乐园,林奕含,北京联合出版公司,2018-1,45.00元,9.2,以血书写的文学,https://book.douban.com/subject/27614904/
鲁滨逊漂流记,[英] 笛福,广西民族出版社,2002-1,9.20元,8.0,最早的荒野求生,https://book.douban.com/subject/1016003/
莲花,安妮宝贝,作家出版社,2006-3,25.00元,8.0,三个生命的交逢，灵魅清冷,https://book.douban.com/subject/1529893/
无声告白,[美] 伍绮诗,江苏凤凰文艺出版社,2015-7,35.00元,8.2,莉迪亚死了，可他们还不知道,https://book.douban.com/subject/26382433/
呼啸山庄,（英）勃朗特,人民文学出版社,1999-01-01,27.30元,8.4,近乎暴虐的爱与恨，中文译名后无来者,https://book.douban.com/subject/1119522/
亲爱的安德烈,龙应台,人民文学出版社,2008-12,26.00,8.7,龙应台母子对话，两代人的思想碰撞,https://book.douban.com/subject/3369793/
基督山伯爵,大仲马,上海译文出版社,1991-12-1,43.90元,9.0,完美的复仇，金庸用法语写作应该就是这样,https://book.douban.com/subject/1085860/
白鹿原,陈忠实,人民文学出版社,1997-12,28.00元,8.7,中国乡村史诗,https://book.douban.com/subject/1085799/
灿烂千阳,[美] 卡勒德·胡赛尼,上海人民出版社,2007-9,28.00元,8.8,唯有希望与爱可以驱散阴霾,https://book.douban.com/subject/2143732/
骆驼祥子,老舍,人民文学出版社,2000-3-1,12.00,8.3,如骆驼喘息般深刻的绝望,https://book.douban.com/subject/1043815/
局外人,[法] 阿尔贝·加缪,上海译文出版社,2010-8,22.00元,9.0,人生在世，永远也不该演戏作假,https://book.douban.com/subject/4908885/
茶花女,小仲马,外国文学出版社,1997-3,9.00元,8.2,妓女应当拥有爱情吗？,https://book.douban.com/subject/1013380/
海边的卡夫卡,[日] 村上春树,上海译文出版社,2003-4,25.00元,8.1,背负诅咒的少年，平行世界中的奥德赛,https://book.douban.com/subject/1059419/
一个陌生女人的来信,[奥] 斯台芬·茨威格,上海译文出版社,2007-7,20.00元,8.7,暗恋的极致,https://book.douban.com/subject/2154960/
笑傲江湖（全四册）,金庸,生活·读书·新知三联书店,1994-5,76.80元,9.0,武侠的壳，政治斗争的核,https://book.douban.com/subject/1002299/
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔,1981-8,53.00元,68.00元,9.2,侦探小说鼻祖,https://book.douban.com/subject/1040211/
兄弟（上）,余华,上海文艺出版社,2005-8,16.00元,8.3,历史苦难中的个人灾变,https://book.douban.com/subject/1401425/
沉默的大多数,王小波,中国青年出版社,1997-10,27.00元,9.1,沉默是沉默者的通行证,https://book.douban.com/subject/1054685/
少有人走的路,[美] M·斯科特·派克,吉林文史出版社,2007-1,26.00元,8.4,成熟的心智通向更完善的自我,https://book.douban.com/subject/1775691/
了不起的盖茨比,菲茨杰拉德,人民文学出版社,2004-06,12.00元,8.3,梦，就像黛西家的那一缕绿光,https://book.douban.com/subject/1008988/
东方快车谋杀案,[英] 阿加莎·克里斯蒂,人民文学出版社,2006-5,18.00元,9.0,谋杀诡计惊人，波洛的抉择耐人寻味,https://book.douban.com/subject/1827374/
情书,[日] 岩井俊二,天津人民出版社,2004-7,18.00元,8.6,一场误会中的两段爱情，东方式的含蓄隐忍,https://book.douban.com/subject/1080370/
无人生还,[英] 阿加莎・克里斯蒂,人民文学出版社,2008-3,19.00,8.9,童谣杀人案,https://book.douban.com/subject/3006581/
神雕侠侣,金庸,生活·读书·新知三联书店,1994-5,76.80元,8.9,至情至性，情大于武,https://book.douban.com/subject/1255624/
巴黎圣母院,[法]雨果,人民文学出版社,1982-6,22.50元,8.3,潜藏于残缺下的美与崇高,https://book.douban.com/subject/1024197/
民主的细节,刘瑜,上海三联书店,2009-6,25.00,8.6,公民养成手册,https://book.douban.com/subject/3813669/
肖申克的救赎,[美] 斯蒂芬·金,人民文学出版社,2006-7,29.90元,9.1,希望让人自由，电影实在太有名,https://book.douban.com/subject/1829226/
羊脂球,（法）莫泊桑,北京燕山出版社,2007-6,13.50元,8.1,资产阶级的道貌岸然,https://book.douban.com/subject/1205370/
呐喊,鲁迅,人民文学出版社,1973年3月,0.36元,8.9,新文学的第一声呐喊,https://book.douban.com/subject/1449351/
遇见未知的自己,张德芬,华夏出版社,2008-1,29.00,8.0,都市灵修速成,https://book.douban.com/subject/2340100/
乌合之众,（法）勒庞,中央编译出版社,2011-5-1,16.00元,8.2,群氓心理剖析,https://book.douban.com/subject/1012611/
月亮与六便士,[英] 威廉·萨默塞特·毛姆,浙江文艺出版社,2017-1-1,39.80元,8.8,满地都是六便士，他却抬头看见了月亮,https://book.douban.com/subject/26954760/
动物农场,[英] 乔治·奥威尔,上海译文出版社,2007-3,10.00元,9.2,太阳底下并无新事,https://book.douban.com/subject/2035179/
爱你就像爱生命,王小波,上海锦绣文章出版社,2008-5,18.00元,8.8,王小波与李银河的两地书,https://book.douban.com/subject/3071717/
当我谈跑步时我谈些什么,[日] 村上春树,南海出版公司,2009-1,25.00,8.2,村上同志告诉我们，身体是革命的本钱,https://book.douban.com/subject/3369600/
安徒生童话故事集,（丹麦）安徒生,人民文学出版社,1997-08,25.00,9.2,远不是童话那么简单,https://book.douban.com/subject/1046209/
红玫瑰与白玫瑰,张爱玲,花城出版社,1996-06,12.80元,8.4,蚊子血还是饭黏子？,https://book.douban.com/subject/1014278/
巨人的陨落,[英] 肯·福莱特,江苏凤凰文艺出版社,2016-5-1,129.80元,8.9,五个家族，一场战争,https://book.douban.com/subject/26698660/
鬼吹灯之精绝古城,天下霸唱,安徽文艺出版社,2006,25.00元,8.1,盗墓祖师名不虚传,https://book.douban.com/subject/1882933/
城南旧事,林海音 文,中国青年出版社,2003-7,16.00元,9.0,长亭外，古道边，芳草碧连天,https://book.douban.com/subject/1254588/
这些都是你给我的爱,文：安东尼,长江文艺出版社,2010-3,24.80元,8.4,只言片语的温暖,https://book.douban.com/subject/4714734/
华胥引（全二册）,唐七公子,现代出版社,2011-1,39.80元,8.4,现实不如梦中的圆满,https://book.douban.com/subject/5916880/
半生缘,张爱玲,北京十月文艺出版社,2006-12,28.00元,8.6,世钧，我们回不去了,https://book.douban.com/subject/1963684/
这些人，那些事,吴念真,译林出版社,2011-9,28.00元,8.8,平淡叙述下的惊心动魄,https://book.douban.com/subject/6388661/
阿Q正传,鲁迅 著,上海书店出版社,2003-7,14.50元,8.7,哀其不幸，怒其不争,https://book.douban.com/subject/1088065/
我不喜欢这世界，我只喜欢你,乔一,湖南少年儿童出版社,2015-5-1,29.80元,8.0,一想到能和你共度余生，我就对余生充满期待,https://book.douban.com/subject/26414020/
陪安东尼度过漫长岁月,安东尼,长江文艺出版社,2008-3,18.00,8.3,真正的片段式写作,https://book.douban.com/subject/3014576/
喜宝,亦舒,新世界出版社,2007-2,22.00元,8.0,爱情才是终极的奢侈品,https://book.douban.com/subject/2022979/
射雕英雄传（全四册）,金庸,生活·读书·新知三联书店,1999-04,47.00元,8.9,侠之大者，为国为民,https://book.douban.com/subject/1044547/
梦里花落知多少,三毛,北京十月文艺出版社,2007-6,28.00元,8.8,哀而不伤,https://book.douban.com/subject/2070844/
一个人的朝圣,【英】蕾秋·乔伊斯,北京联合出版公司,2013-9-1,32.80,8.1,关于爱和信念的旅行,https://book.douban.com/subject/24934182/
一只特立独行的猪,王小波,北方文艺出版社,2006-4,18.80元,8.8,生活就是个缓慢受锤的过程，至少还可以特立独行,https://book.douban.com/subject/1767945/
如何阅读一本书,[美] 莫提默·J. 艾德勒,商务印书馆,2004-1,38.00元,8.4,读书的方法论,https://book.douban.com/subject/1013208/
朝花夕拾,鲁迅,人民文学出版社,1972年4月,0.25元,8.7,鲁迅的旧事重提,https://book.douban.com/subject/1449352/
格林童话全集,[德国]格林兄弟,人民文学出版社,1994-11,21.45元,9.0,许多隐晦,https://book.douban.com/subject/1043008/
地下铁,幾米,辽宁教育出版社,2002-2,32.00元,8.3,黑暗世界中的点滴亮光,https://book.douban.com/subject/1056733/
孩子你慢慢来,龙应台,生活·读书·新知三联书店,2009-12-1,28.00元,8.8,我们现在怎样做母亲,https://book.douban.com/subject/4207781/
杀死一只知更鸟,[美] 哈珀·李,译林出版社,2012-9,32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心,https://book.douban.com/subject/6781808/
麦琪的礼物,[美] 欧·亨利,上海社会科学院出版社,2003-7,25.00元,8.6,日常的奇迹,https://book.douban.com/subject/1051193/
刀锋,[英]毛姆,上海译文出版社,2007-3,18.00元,9.0,一把刀的锋刃不容易越过；因此智者说得救之道是困难的,https://book.douban.com/subject/2035162/
海底两万里,[法国] 儒尔·凡尔纳,译林出版社,2002-9,19.50元,8.4,你听说过鹦鹉螺号吗？,https://book.douban.com/subject/1085470/
孤独六讲,蒋勋,广西师范大学出版社,2009-10-1,36.00元,8.1,作为一种美学的孤独,https://book.douban.com/subject/4124727/
步步惊心,桐华,民族出版社,2006-6,25.00元,8.1,现世太苦，不如穿越回去从头来过,https://book.douban.com/subject/1812439/
月亮忘記了,幾米,格林,2000-2-1,NT$ 299,8.6,月明星稀的晚上，看不见的，看见了,https://book.douban.com/subject/1358873/
此间的少年,江南,华文出版社,2004-1,25.00元,8.4,象牙塔里的金庸群侠,https://book.douban.com/subject/1020459/
菊与刀,（美）鲁思・本尼迪克特,商务印书馆,1990-6,16.00,8.2,复杂矛盾的日本民族,https://book.douban.com/subject/1022238/
尘埃落定,阿来,人民文学出版社,1998-3-1,22.0,8.4,一个傻子的土司家族传奇,https://book.douban.com/subject/1080309/
你今天真好看,[美]莉兹•克里莫,天津人民出版社,2015-8,39.00元,8.7,呆萌可爱的动物段子手,https://book.douban.com/subject/26602392/
查令十字街84号,[美] 海莲·汉芙,译林出版社,2005-05-01,18.00元,8.3,文艺青年的爱情地标,https://book.douban.com/subject/1316648/
那些回不去的年少时光,桐华,江苏文艺出版社,2010-01,23.80元,8.5,所有你曾热爱却正在遗忘的人和事,https://book.douban.com/subject/4231381/
球状闪电,刘慈欣,四川科学技术出版社,2005-6,22.00元,8.7,量子之外，没有真相,https://book.douban.com/subject/1192090/
荆棘鸟,[澳] 考琳·麦卡洛,译林出版社,1998-7,28.00元,8.6,澳洲乱世情,https://book.douban.com/subject/1086249/
流浪地球,刘慈欣,湖北长江出版集团，长江文艺出版社,2008-11,28.00元,8.6,刘慈欣获中国科幻银河奖的中短篇小说集,https://book.douban.com/subject/3266609/
金锁记,张爱玲,哈尔滨出版社,2005-6,13.5元,8.5,曹七巧就像希克厉，一个扭曲的英雄,https://book.douban.com/subject/3017857/
哭泣的骆驼,三毛,哈尔滨出版社,2003-6,15.80元,8.9,沙漠中寻常的生与死,https://book.douban.com/subject/1029111/
一個人住第5年,高木直子,大田,2004-12-1,NT$220,8.4,独居生活之乐,https://book.douban.com/subject/1346815/
悲惨世界（上中下）,[法] 雨果,人民文学出版社,1992-6,66.00元,8.9,现实主义与浪漫主义的至高杰作,https://book.douban.com/subject/1205054/
寻路中国,[美] 彼得·海斯勒,上海译文出版社,2011-1,33.00元,9.0,中国在路上，非虚构写作所能达到的高度,https://book.douban.com/subject/5414391/
常识,梁文道,广西师范大学出版社,2009-1,38.00,8.1,献给这个常识稀缺的时代,https://book.douban.com/subject/3344676/
富爸爸，穷爸爸,（美）罗伯特・T・清崎,世界图书出版公司,2000-09,18.80,8.2,人穷穷观念，人富钱生钱,https://book.douban.com/subject/1033778/
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森,中信出版社,2011-10-24,68.00元,8.7,完美主义者的最高形态,https://book.douban.com/subject/6798611/
飞鸟集,[印] 罗宾德拉纳德·泰戈尔,哈尔滨出版社,2004-6,16.80元,8.9,淡泊，超脱,https://book.douban.com/subject/1058661/
雷雨,曹禺,人民文学出版社,1999-05,9.20,8.6,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了,https://book.douban.com/subject/1013416/
海贼王,尾田荣一郎,浙江人民美术出版社,2007-11,7.50元,9.5,热血，梦想，希望,https://book.douban.com/subject/1474773/
鹿鼎记（全五册）,金庸,广州出版社 花城出版社,2008-3,108.00元,8.8,武侠的解构，流氓的狂欢,https://book.douban.com/subject/1212893/
你好，旧时光（上 下）,八月长安,新世界出版社,2009-12,39.80元,8.8,原作名切题,https://book.douban.com/subject/4166819/
水浒传（全二册）,[明] 施耐庵,人民文学出版社,1997-1,50.60元,8.5,风风火火闯九州,https://book.douban.com/subject/1008357/
时间旅行者的妻子,[美] 奥德丽·尼芬格,人民文学出版社,2007-4,29.90元,8.1,在时间的缝隙中穿行，然后相遇,https://book.douban.com/subject/2056749/
倚天屠龙记(共四册),金庸,三联书店,1999-04,47.00,8.6,不识张郎是张郎,https://book.douban.com/subject/1070851/
西游记（全二册）,吴承恩,人民文学出版社,2004-8,47.20元,8.8,取经之路就在脚下,https://book.douban.com/subject/1029553/
东霓,笛安,长江文艺出版社,2010-7-1,26.80元,8.1,自毁而偏执的东霓,https://book.douban.com/subject/4874131/
长恨歌,王安忆,南海出版公司,2003-8,22.00元,8.2,现代上海史诗,https://book.douban.com/subject/1082349/
狂人日记,鲁迅,京华出版社,2006-3,39.80元,8.7,中国现代文学史上第一篇真正的现代白话小说,https://book.douban.com/subject/1398395/
失恋33天,鲍鲸鲸,中信出版社,2010-1,25.00元,8.1,失恋是一种病，痊愈之后百毒不侵,https://book.douban.com/subject/4238754/
你一定爱读的极简欧洲史,约翰·赫斯特（John Hirst）,广西师范大学出版社,2011-11-25,25.00元,8.2,欧洲，为什么老是抢第一？,https://book.douban.com/subject/5366248/
伊豆的舞女,[日] 川端康成,广西师范大学出版社,2002-2,23.80元,8.2,静美又残酷，无限柔软的川端,https://book.douban.com/subject/1005521/
最好的我们,八月长安,湖南文艺出版社,2013-8-5,55,8.8,耿耿余淮,https://book.douban.com/subject/24754316/
时间简史,[英] 史蒂芬·霍金,湖南科学技术出版社,2010-4,45.00元,8.8,霍金与上帝的战争,https://book.douban.com/subject/1034282/
瓦尔登湖,[美] 梭罗,上海译文出版社,2006-8,11.00元,8.4,另一种生活,https://book.douban.com/subject/1865089/
我与地坛,史铁生,春风文艺出版社,2002-5,25.00元,9.0,这是你的罪孽与福祉,https://book.douban.com/subject/1209899/
历史深处的忧虑,林达,生活·读书·新知三联书店,1997-5,19.00元,9.0,窥见美国社会的一扇窗,https://book.douban.com/subject/1027191/
呼兰河传,萧红,百花文艺出版社,2005-01,19.00,8.9,萧红的童年往事,https://book.douban.com/subject/1060852/
红与黑,[法] 司汤达,人民文学出版社,2002,20.00元,8.2,阴谋与爱情,https://book.douban.com/subject/1007433/
中国历代政治得失,钱穆,生活·读书·新知三联书店,2001,12.00元,9.1,一部简明的“中国政治制度史”,https://book.douban.com/subject/1003479/
夏洛的网,[美] E.B.怀特,上海译文出版社,2004-5,17.00元,8.6,猪与蜘蛛,https://book.douban.com/subject/1036274/
大地之灯,七堇年,长江文艺出版社,2007-1,22.00元,8.2,两代人的成长与救赎,https://book.douban.com/subject/1963310/
一九八四·动物农场,[英] 乔治·奥威尔,上海译文出版社,2003-4,23.00元,9.3,一个预言和一个寓言，令人窒息的政治恐怖,https://book.douban.com/subject/1082387/
陆犯焉识,严歌苓,作家出版社,2011-10,35.00元,8.8,翻手为苍凉，覆手为繁华,https://book.douban.com/subject/6880158/
匆匆那年（上下）,九夜茴,东方出版社,2008-1,29.00,8.3,不悔梦归处 只恨太匆匆,https://book.douban.com/subject/2567919/
影响力,[美] 罗伯特·西奥迪尼,中国人民大学出版社,2006-5,45.00元,8.6,营销防骗指南,https://book.douban.com/subject/1786387/
橙,安东尼,长江文艺出版社,2010-10,28.80元,8.2,定做一个刻着“不过如此”的章，盖在封面上,https://book.douban.com/subject/5327697/
香水,[德] 帕·聚斯金德,上海译文出版社,2005-5,20.00元,8.5,恋味癖谋杀案,https://book.douban.com/subject/1292416/
我的天才女友,[意] 埃莱娜·费兰特,人民文学出版社,2017-1,42.00元,8.5,两个女人，50年的友谊和战争,https://book.douban.com/subject/26878124/
世界尽头与冷酷仙境,[日] 村上春树,上海译文出版社,2002-12,23.00元,8.6,交叉平行蒙太奇,https://book.douban.com/subject/1291809/
自控力,[美]  凯利·麦格尼格尔,文化发展出版社(原印刷工业出版社),2012-8,39.80元,8.3,要么瘦，要么死,https://book.douban.com/subject/10786473/
看不见的城市,[意大利]伊塔洛·卡尔维诺,译林出版社,2006-8,16.00元,8.8,每一座城市都只在想象中耸立，又在描述中坍圮,https://book.douban.com/subject/1863930/
冰与火之歌（卷一）,[美] 乔治·R. R. 马丁,重庆出版社,2005-5,68.00元,9.3,凛冬将至。无比宏大的世界观,https://book.douban.com/subject/1336330/
人生,路遥,北京十月文艺出版社,2009-5,20.00元,8.4,如果你是高加林，你要如何选择？,https://book.douban.com/subject/3803820/
那些年，我们一起追的女孩,九把刀,花山文艺出版社,2007-1,20.00元,8.2,那些年错过的大雨,https://book.douban.com/subject/1958227/
江城,[美] 彼得·海斯勒,上海译文出版社,2012-1,36.00元,9.0,外国人的寻路中国,https://book.douban.com/subject/7060185/
把时间当作朋友,李笑来,电子工业出版社,2009-6,32.00元,8.4,反成功学的成功学,https://book.douban.com/subject/3609132/
变形记,[奥] 卡夫卡,浙江文艺出版社,2003-4,16.00元,8.4,格里高里清早醒来发现自己变成了甲虫,https://book.douban.com/subject/1213546/
阿狸·梦之城堡,hans,上海锦绣文章出版社,2009-1,36.80元,9.0,治愈,https://book.douban.com/subject/3554154/
天使与魔鬼,[美] 丹.布朗,人民文学出版社,2005-2,29.80元,8.1,科学与宗教的大乱斗,https://book.douban.com/subject/1228110/
七夜雪,沧月,北京十月文艺出版社,2006-10,25.00元,8.4,抵不过时间,https://book.douban.com/subject/1919201/
ZOO,[日] 乙一,当代世界出版社,2007-10,20.00元,8.6,噩梦中的一丝温度,https://book.douban.com/subject/2297697/
人性的弱点全集,[美] 戴尔·卡耐基,中国发展出版社,2008-1,25.00元,8.2,西方世界最持久的人文畅销书,https://book.douban.com/subject/1056295/
往事并不如烟,章诒和,人民文学出版社,2004-1,35.00元,8.6,知识分子的命运浮沉,https://book.douban.com/subject/1059336/
国境以南 太阳以西,[日] 村上春树,上海译文出版社,2001-8,13.50元,8.3,灾星下出生的恋人们,https://book.douban.com/subject/1015452/
未来简史,[以色列] 尤瓦尔·赫拉利,中信出版集团,2017-2,68.00元,8.4,人类面临的新议题,https://book.douban.com/subject/26943161/
蔷薇岛屿,安妮宝贝,作家出版社,2002-8,18.00元,8.0,你们不会彼此遗忘。只会彼此消失,https://book.douban.com/subject/1063190/
一句顶一万句,刘震云,长江文艺出版社,2009-3,29.80,8.7,一句胜过千年,https://book.douban.com/subject/3633461/
京华烟云,林语堂,陕西师范大学出版社,2005-7,43.00元,8.5,林语堂的《红楼梦》,https://book.douban.com/subject/1391191/
项链,[法] 莫泊桑,河北教育出版社,2005-2,28.00元,8.3,空,https://book.douban.com/subject/1258498/
没有色彩的多崎作和他的巡礼之年,[日] 村上春树,南海出版公司,2013-10-1,39.50元,8.2,并不是一切都消失在了时间的长河里,https://book.douban.com/subject/25733470/
文学回忆录（全2册）,木心 讲述,广西师范大学出版社,2013-1-10,98.00元,9.2,木心留给世界的礼物,https://book.douban.com/subject/20440644/
罗生门,[日]芥川龙之介,上海译文出版社,2008-7,12.00元,8.7,空,https://book.douban.com/subject/3136271/
最初的爱情 最后的仪式,[英] 伊恩·麦克尤恩,南京大学出版社,2010-2,22.00元,8.0,别被封面骗了,https://book.douban.com/subject/4011440/
父与子全集,[德] 埃·奥·卜劳恩 绘,中国工人出版社,2003-4,20.00元,9.2,空,https://book.douban.com/subject/1002898/
